"journal","data","values"
"International Journal of Reconfigurable Computing","Journal Citation Indicator","-"
"International Journal of Reconfigurable Computing","Impact Factor","-"
"International Journal of Reproductive Medicine","APC","$820"
"International Journal of Reproductive Medicine","Acceptance rate","24%"
"International Journal of Reproductive Medicine","Submission to final decision","68 days"
"International Journal of Reproductive Medicine","Acceptance to publication","19 days"
"International Journal of Reproductive Medicine","CiteScore","3.800"
"International Journal of Reproductive Medicine","Journal Citation Indicator","0.380"
"International Journal of Reproductive Medicine","Impact Factor","1.7"
"International Journal of RF and Microwave Computer-Aided Engineering","APC","$2570"
"International Journal of RF and Microwave Computer-Aided Engineering","Acceptance rate","-"
"International Journal of RF and Microwave Computer-Aided Engineering","Submission to final decision","-"
"International Journal of RF and Microwave Computer-Aided Engineering","Acceptance to publication","-"
"International Journal of RF and Microwave Computer-Aided Engineering","CiteScore","3.700"
"International Journal of RF and Microwave Computer-Aided Engineering","Journal Citation Indicator","0.460"
"International Journal of RF and Microwave Computer-Aided Engineering","Impact Factor","2.3"
"International Journal of Rheumatology","APC","$950"
"International Journal of Rheumatology","Acceptance rate","-"
"International Journal of Rheumatology","Submission to final decision","-"
"International Journal of Rheumatology","Acceptance to publication","-"
"International Journal of Rheumatology","CiteScore","2.300"
"International Journal of Rheumatology","Journal Citation Indicator","0.290"
"International Journal of Rheumatology","Impact Factor","0.9"
"International Journal of Rotating Machinery","APC","$950"
"International Journal of Rotating Machinery","Acceptance rate","-"
"International Journal of Rotating Machinery","Submission to final decision","-"
"International Journal of Rotating Machinery","Acceptance to publication","-"
"International Journal of Rotating Machinery","CiteScore","2.500"
"International Journal of Rotating Machinery","Journal Citation Indicator","0.280"
"International Journal of Rotating Machinery","Impact Factor","1.5"
"International Journal of Surgical Oncology","APC","$950"
"International Journal of Surgical Oncology","Acceptance rate","14%"
"International Journal of Surgical Oncology","Submission to final decision","125 days"
"International Journal of Surgical Oncology","Acceptance to publication","18 days"
"International Journal of Surgical Oncology","CiteScore","4.500"
"International Journal of Surgical Oncology","Journal Citation Indicator","1.080"
"International Journal of Surgical Oncology","Impact Factor","4.4"
"International Journal of Telemedicine and Applications","APC","$950"
"International Journal of Telemedicine and Applications","Acceptance rate","-"
"International Journal of Telemedicine and Applications","Submission to final decision","-"
"International Journal of Telemedicine and Applications","Acceptance to publication","-"
"International Journal of Telemedicine and Applications","CiteScore","2.300"
"International Journal of Telemedicine and Applications","Journal Citation Indicator","0.250"
"International Journal of Telemedicine and Applications","Impact Factor","1.3"
"International Journal of Vascular Medicine","APC","$950"
"International Journal of Vascular Medicine","Acceptance rate","22%"
"International Journal of Vascular Medicine","Submission to final decision","99 days"
"International Journal of Vascular Medicine","Acceptance to publication","19 days"
"International Journal of Vascular Medicine","CiteScore","2.600"
"International Journal of Vascular Medicine","Journal Citation Indicator","-"
"International Journal of Vascular Medicine","Impact Factor","-"
"International Journal of Zoology","APC","$820"
"International Journal of Zoology","Acceptance rate","30%"
"International Journal of Zoology","Submission to final decision","60 days"
"International Journal of Zoology","Acceptance to publication","24 days"
"International Journal of Zoology","CiteScore","5.300"
"International Journal of Zoology","Journal Citation Indicator","0.560"
"International Journal of Zoology","Impact Factor","2.3"
"International Transactions on Electrical Energy Systems","APC","$2240"
"Journal of Addiction","APC","$820"
"Journal of Addiction","Acceptance rate","27%"
"Journal of Addiction","Submission to final decision","114 days"
"Journal of Addiction","Acceptance to publication","24 days"
"Journal of Addiction","CiteScore","3.900"
"Journal of Addiction","Journal Citation Indicator","0.480"
"Journal of Addiction","Impact Factor","2.3"
"Journal of Advanced Transportation","APC","$2630"
"Journal of Advanced Transportation","Acceptance rate","-"
"Journal of Advanced Transportation","Submission to final decision","-"
"Journal of Advanced Transportation","Acceptance to publication","-"
"Journal of Advanced Transportation","CiteScore","4.700"
"Journal of Advanced Transportation","Journal Citation Indicator","0.330"
"Journal of Advanced Transportation","Impact Factor","4.7"
"Journal of Aging Research","APC","$950"
"Journal of Aging Research","Acceptance rate","30%"
"Journal of Aging Research","Submission to final decision","104 days"
"Journal of Aging Research","Acceptance to publication","22 days"
"Journal of Aging Research","CiteScore","4.300"
"Journal of Aging Research","Journal Citation Indicator","0.520"
"Journal of Aging Research","Impact Factor","2.6"
"Journal of Analytical Methods in Chemistry","APC","$2060"
"Journal of Analytical Methods in Chemistry","Acceptance rate","24%"
"Journal of Analytical Methods in Chemistry","Submission to final decision","61 days"
"Journal of Analytical Methods in Chemistry","Acceptance to publication","20 days"
"Journal of Analytical Methods in Chemistry","CiteScore","2.400"
"Journal of Analytical Methods in Chemistry","Journal Citation Indicator","0.360"
"Journal of Analytical Methods in Chemistry","Impact Factor","0.9"
"Journal of Applied Ichthyology","APC","$2310"
"Journal of Applied Ichthyology","Acceptance rate","23%"
"Journal of Applied Ichthyology","Submission to final decision","70 days"
"Journal of Applied Ichthyology","Acceptance to publication","18 days"
"Journal of Applied Ichthyology","CiteScore","2.300"
"Journal of Applied Ichthyology","Journal Citation Indicator","-"
"Journal of Applied Ichthyology","Impact Factor","-"
"Journal of Applied Mathematics","APC","$1080"
"Journal of Applied Mathematics","Acceptance rate","-"
"Journal of Applied Mathematics","Submission to final decision","-"
"Journal of Applied Mathematics","Acceptance to publication","-"
"Journal of Applied Mathematics","CiteScore","4.800"
"Journal of Applied Mathematics","Journal Citation Indicator","0.490"
"Journal of Applied Mathematics","Impact Factor","1.8"
"Journal of Cancer Epidemiology","APC","$950"
"Journal of Cancer Epidemiology","Acceptance rate","8%"
"Journal of Cancer Epidemiology","Submission to final decision","76 days"
"Journal of Cancer Epidemiology","Acceptance to publication","14 days"
"Journal of Cancer Epidemiology","CiteScore","1.900"
"Journal of Cancer Epidemiology","Journal Citation Indicator","0.480"
"Journal of Cancer Epidemiology","Impact Factor","1.6"
"Journal of Cardiac Surgery","APC","$2570"
"Journal of Cardiac Surgery","Acceptance rate","24%"
"Journal of Cardiac Surgery","Submission to final decision","86 days"
"Journal of Cardiac Surgery","Acceptance to publication","21 days"
"Journal of Cardiac Surgery","CiteScore","5.100"
"Journal of Cardiac Surgery","Journal Citation Indicator","0.400"
"Journal of Cardiac Surgery","Impact Factor","3.0"
"Journal of Chemistry","APC","$2060"
"Journal of Chemistry","Acceptance rate","6%"
"Journal of Chemistry","Submission to final decision","78 days"
"Journal of Chemistry","Acceptance to publication","21 days"
"Journal of Chemistry","CiteScore","3.200"
"Journal of Chemistry","Journal Citation Indicator","0.450"
"Journal of Chemistry","Impact Factor","2.0"
"Journal of Clinical Pharmacy and Therapeutics","APC","$2570"
"Journal of Clinical Pharmacy and Therapeutics","Acceptance rate","-"
"Journal of Clinical Pharmacy and Therapeutics","Submission to final decision","-"
"Journal of Clinical Pharmacy and Therapeutics","Acceptance to publication","-"
"Journal of Clinical Pharmacy and Therapeutics","CiteScore","1.200"
"Journal of Clinical Pharmacy and Therapeutics","Journal Citation Indicator","0.110"
"Journal of Clinical Pharmacy and Therapeutics","Impact Factor","0.7"
"Journal of Combustion","APC","$950"
"Journal of Combustion","Acceptance rate","13%"
"Journal of Combustion","Submission to final decision","97 days"
"Journal of Combustion","Acceptance to publication","22 days"
"Journal of Combustion","CiteScore","8.900"
"Journal of Combustion","Journal Citation Indicator","0.500"
"Journal of Combustion","Impact Factor","2.0"
"Journal of Computer Networks and Communications","APC","$1490"
"Journal of Computer Networks and Communications","Acceptance rate","17%"
"Journal of Computer Networks and Communications","Submission to final decision","48 days"
"Journal of Computer Networks and Communications","Acceptance to publication","18 days"
"Journal of Computer Networks and Communications","CiteScore","2.500"
"Journal of Computer Networks and Communications","Journal Citation Indicator","0.230"
"Journal of Computer Networks and Communications","Impact Factor","1.7"
"Journal of Control Science and Engineering","APC","$1490"
"Journal of Control Science and Engineering","Acceptance rate","10%"
"Journal of Control Science and Engineering","Submission to final decision","127 days"
"Journal of Control Science and Engineering","Acceptance to publication","19 days"
"Journal of Control Science and Engineering","CiteScore","7.100"
"Journal of Control Science and Engineering","Journal Citation Indicator","0.760"
"Journal of Control Science and Engineering","Impact Factor","4.3"
"Journal of Diabetes Research","APC","$2630"
"Journal of Diabetes Research","Acceptance rate","11%"
"Journal of Diabetes Research","Submission to final decision","84 days"
"Journal of Diabetes Research","Acceptance to publication","19 days"
"Journal of Diabetes Research","CiteScore","3.400"
"Journal of Diabetes Research","Journal Citation Indicator","0.480"
"Journal of Diabetes Research","Impact Factor","2.4"
"Journal of Electrical and Computer Engineering","APC","$950"
"Journal of Electrical and Computer Engineering","Acceptance rate","21%"
"Journal of Electrical and Computer Engineering","Submission to final decision","143 days"
"Journal of Electrical and Computer Engineering","Acceptance to publication","39 days"
"Journal of Electrical and Computer Engineering","CiteScore","-"
"Journal of Electrical and Computer Engineering","Journal Citation Indicator","-"
"Journal of Electrical and Computer Engineering","Impact Factor","-"
"Journal of Energy","APC","$820"
"Journal of Energy","Acceptance rate","11%"
"Journal of Energy","Submission to final decision","100 days"
"Journal of Energy","Acceptance to publication","22 days"
"Journal of Energy","CiteScore","3.600"
"Journal of Energy","Journal Citation Indicator","0.430"
"Journal of Energy","Impact Factor","2.7"
"Journal of Engineering","APC","$950"
"Journal of Engineering","Acceptance rate","17%"
"Journal of Engineering","Submission to final decision","37 days"
"Journal of Engineering","Acceptance to publication","26 days"
"Journal of Engineering","CiteScore","-"
"Journal of Engineering","Journal Citation Indicator","-"
"Journal of Engineering","Impact Factor","-"
"Journal of Environmental and Public Health","APC","$1450"
"Journal of Environmental and Public Health","Acceptance rate","14%"
"Journal of Environmental and Public Health","Submission to final decision","64 days"
"Journal of Environmental and Public Health","Acceptance to publication","20 days"
"Journal of Environmental and Public Health","CiteScore","6.000"
"Journal of Environmental and Public Health","Journal Citation Indicator","0.660"
"Journal of Environmental and Public Health","Impact Factor","4.0"
"Journal of Food Biochemistry","APC","$2570"
"Journal of Food Biochemistry","Acceptance rate","16%"
"Journal of Food Biochemistry","Submission to final decision","68 days"
"Journal of Food Biochemistry","Acceptance to publication","45 days"
"Journal of Food Biochemistry","CiteScore","3.400"
"Journal of Food Biochemistry","Journal Citation Indicator","0.520"
"Journal of Food Biochemistry","Impact Factor","2.5"
"Journal of Food Processing and Preservation","APC","$2570"
"Journal of Food Processing and Preservation","Acceptance rate","23%"
"Journal of Food Processing and Preservation","Submission to final decision","102 days"
"Journal of Food Processing and Preservation","Acceptance to publication","20 days"
"Journal of Food Processing and Preservation","CiteScore","4.400"
"Journal of Food Processing and Preservation","Journal Citation Indicator","0.590"
"Journal of Food Processing and Preservation","Impact Factor","3.3"
"Journal of Food Quality","APC","$2450"
"Journal of Food Quality","Acceptance rate","23%"
"Journal of Food Quality","Submission to final decision","72 days"
"Journal of Food Quality","Acceptance to publication","20 days"
"Journal of Food Quality","CiteScore","2.600"
"Journal of Food Quality","Journal Citation Indicator","1.430"
"Journal of Food Quality","Impact Factor","1.9"
"Journal of Function Spaces","APC","$2450"
"Journal of GeoEnergy","APC","FREE - limited time"
"Journal of GeoEnergy","Acceptance rate","8%"
"Journal of GeoEnergy","Submission to final decision","133 days"
"Journal of GeoEnergy","Acceptance to publication","34 days"
"Journal of GeoEnergy","CiteScore","3.200"
"Journal of GeoEnergy","Journal Citation Indicator","-"
"Journal of GeoEnergy","Impact Factor","-"
"Journal of Healthcare Engineering","APC","$2375"
"Journal of Healthcare Engineering","Acceptance rate","17%"
"Journal of Healthcare Engineering","Submission to final decision","83 days"
"Journal of Healthcare Engineering","Acceptance to publication","26 days"
"Journal of Healthcare Engineering","CiteScore","6.000"
"Journal of Healthcare Engineering","Journal Citation Indicator","0.560"
"Journal of Healthcare Engineering","Impact Factor","4.1"
"Journal of Immunology Research","APC","$2450"
"Journal of Immunology Research","Acceptance rate","22%"
"Journal of Immunology Research","Submission to final decision","106 days"
"Journal of Immunology Research","Acceptance to publication","22 days"
"Journal of Immunology Research","CiteScore","2.800"
"Journal of Immunology Research","Journal Citation Indicator","0.420"
"Journal of Immunology Research","Impact Factor","2.1"
"Journal of Interventional Cardiology","APC","$2060"
"Journal of Interventional Cardiology","Acceptance rate","-"
"Journal of Interventional Cardiology","Submission to final decision","-"
"Journal of Interventional Cardiology","Acceptance to publication","-"
"Journal of Interventional Cardiology","CiteScore","-"
"Journal of Interventional Cardiology","Journal Citation Indicator","0.520"
"Journal of Interventional Cardiology","Impact Factor","5.3"
"Journal of Lipids","APC","$950"
"Journal of Marine Sciences","APC","$820"
"Journal of Marine Sciences","Acceptance rate","19%"
"Journal of Marine Sciences","Submission to final decision","82 days"
"Journal of Marine Sciences","Acceptance to publication","30 days"
"Journal of Marine Sciences","CiteScore","1.500"
"Journal of Marine Sciences","Journal Citation Indicator","1.140"
"Journal of Marine Sciences","Impact Factor","1.4"
"Journal of Mathematics","APC","$2060"
"Journal of Mathematics","Acceptance rate","34%"
"Journal of Mathematics","Submission to final decision","78 days"
"Journal of Mathematics","Acceptance to publication","27 days"
"Journal of Mathematics","CiteScore","5.100"
"Journal of Mathematics","Journal Citation Indicator","-"
"Journal of Mathematics","Impact Factor","-"
"Journal of Nanomaterials","APC","$2375"
"Journal of Nanomaterials","Acceptance rate","16%"
"Journal of Nanomaterials","Submission to final decision","99 days"
"Journal of Nanomaterials","Acceptance to publication","19 days"
"Journal of Nanomaterials","CiteScore","6.800"
"Journal of Nanomaterials","Journal Citation Indicator","0.410"
"Journal of Nanomaterials","Impact Factor","4.2"
"Journal of Nanotechnology","APC","$950"
"Journal of Nanotechnology","Acceptance rate","-"
"Journal of Nanotechnology","Submission to final decision","-"
"Journal of Nanotechnology","Acceptance to publication","-"
"Journal of Nanotechnology","CiteScore","2.800"
"Journal of Nanotechnology","Journal Citation Indicator","0.270"
"Journal of Nanotechnology","Impact Factor","2.3"
"Journal of Nucleic Acids","APC","$950"
"Journal of Nucleic Acids","Acceptance rate","7%"
"Journal of Nucleic Acids","Submission to final decision","83 days"
"Journal of Nucleic Acids","Acceptance to publication","18 days"
"Journal of Nucleic Acids","CiteScore","6.800"
"Journal of Nucleic Acids","Journal Citation Indicator","1.690"
"Journal of Nucleic Acids","Impact Factor","5.5"
"Journal of Nursing Management","APC","$2570"
"Journal of Nursing Management","Acceptance rate","8%"
"Journal of Nursing Management","Submission to final decision","97 days"
"Journal of Nursing Management","Acceptance to publication","24 days"
"Journal of Nursing Management","CiteScore","5.200"
"Journal of Nursing Management","Journal Citation Indicator","0.480"
"Journal of Nursing Management","Impact Factor","2.2"
"Journal of Nutrition and Metabolism","APC","$950"
"Journal of Nutrition and Metabolism","Acceptance rate","-"
"Journal of Nutrition and Metabolism","Submission to final decision","-"
"Journal of Nutrition and Metabolism","Acceptance to publication","-"
"Journal of Nutrition and Metabolism","CiteScore","7.400"
"Journal of Nutrition and Metabolism","Journal Citation Indicator","0.700"
"Journal of Nutrition and Metabolism","Impact Factor","3.3"
"Journal of Obesity","APC","$950"
"Journal of Obesity","Acceptance rate","15%"
"Journal of Obesity","Submission to final decision","70 days"
"Journal of Obesity","Acceptance to publication","32 days"
"Journal of Obesity","CiteScore","3.900"
"Journal of Obesity","Journal Citation Indicator","-"
"Journal of Obesity","Impact Factor","-"
"Journal of Oncology","APC","$2550"
"Journal of Oncology","Acceptance rate","14%"
"Journal of Oncology","Submission to final decision","111 days"
"Journal of Oncology","Acceptance to publication","20 days"
"Journal of Oncology","CiteScore","3.400"
"Journal of Oncology","Journal Citation Indicator","0.630"
"Journal of Oncology","Impact Factor","1.9"
"Journal of Ophthalmology","APC","$2630"
"Journal of Ophthalmology","Acceptance rate","-"
"Journal of Ophthalmology","Submission to final decision","-"
"Journal of Ophthalmology","Acceptance to publication","-"
"Journal of Ophthalmology","CiteScore","-"
"Journal of Ophthalmology","Journal Citation Indicator","0.730"
"Journal of Ophthalmology","Impact Factor","4.0"
"Journal of Optimization","APC","$1080"
"Journal of Optimization","Acceptance rate","-"
"Journal of Optimization","Submission to final decision","-"
"Journal of Optimization","Acceptance to publication","-"
"Journal of Optimization","CiteScore","3.700"
"Journal of Optimization","Journal Citation Indicator","0.640"
"Journal of Optimization","Impact Factor","1.9"
"Journal of Osteoporosis","APC","$950"
"Journal of Osteoporosis","Acceptance rate","21%"
"Journal of Osteoporosis","Submission to final decision","131 days"
"Journal of Osteoporosis","Acceptance to publication","17 days"
"Journal of Osteoporosis","CiteScore","3.000"
"Journal of Osteoporosis","Journal Citation Indicator","0.410"
"Journal of Osteoporosis","Impact Factor","2.2"
"Journal of Parasitology Research","APC","$950"
"Journal of Parasitology Research","Acceptance rate","-"
"Journal of Parasitology Research","Submission to final decision","-"
"Journal of Parasitology Research","Acceptance to publication","-"
"Journal of Parasitology Research","CiteScore","-"
"Journal of Parasitology Research","Journal Citation Indicator","0.320"
"Journal of Parasitology Research","Impact Factor","2.6"
"Journal of Pathogens","APC","$950"
"Journal of Pathogens","Acceptance rate","8%"
"Journal of Pathogens","Submission to final decision","141 days"
"Journal of Pathogens","Acceptance to publication","19 days"
"Journal of Pathogens","CiteScore","5.900"
"Journal of Pathogens","Journal Citation Indicator","1.050"
"Journal of Pathogens","Impact Factor","3.2"
"Journal of Pregnancy","APC","$950"
"Journal of Pregnancy","Acceptance rate","14%"
"Journal of Pregnancy","Submission to final decision","103 days"
"Journal of Pregnancy","Acceptance to publication","28 days"
"Journal of Pregnancy","CiteScore","-"
"Journal of Pregnancy","Journal Citation Indicator","0.470"
"Journal of Pregnancy","Impact Factor","1.1"
"Journal of Probability and Statistics","APC","$1080"
"Journal of Renewable Energy","APC","$820"
"Journal of Renewable Energy","Acceptance rate","18%"
"Journal of Renewable Energy","Submission to final decision","66 days"
"Journal of Renewable Energy","Acceptance to publication","19 days"
"Journal of Renewable Energy","CiteScore","3.000"
"Journal of Renewable Energy","Journal Citation Indicator","0.360"
"Journal of Renewable Energy","Impact Factor","1.8"
"Journal of Robotics","APC","$950"
"Journal of Robotics","Acceptance rate","33%"
"Journal of Robotics","Submission to final decision","51 days"
"Journal of Robotics","Acceptance to publication","20 days"
"Journal of Robotics","CiteScore","2.600"
"Journal of Robotics","Journal Citation Indicator","0.440"
"Journal of Robotics","Impact Factor","1.9"
"Journal of Sensors","APC","$2450"
"Journal of Sensors","Acceptance rate","-"
"Journal of Sensors","Submission to final decision","-"
"Journal of Sensors","Acceptance to publication","-"
"Journal of Sensors","CiteScore","1.600"
"Journal of Sensors","Journal Citation Indicator","0.380"
"Journal of Sensors","Impact Factor","1.1"
"Journal of Skin Cancer","APC","$950"
"Journal of Skin Cancer","Acceptance rate","31%"
"Journal of Skin Cancer","Submission to final decision","144 days"
"Journal of Skin Cancer","Acceptance to publication","18 days"
"Journal of Skin Cancer","CiteScore","1.200"
"Journal of Skin Cancer","Journal Citation Indicator","0.220"
"Journal of Skin Cancer","Impact Factor","0.9"
"Journal of Smoking Cessation","APC","$1400"
"Journal of Smoking Cessation","Acceptance rate","35%"
"Journal of Smoking Cessation","Submission to final decision","103 days"
"Journal of Smoking Cessation","Acceptance to publication","19 days"
"Journal of Smoking Cessation","CiteScore","3.200"
"Journal of Smoking Cessation","Journal Citation Indicator","0.520"
"Journal of Smoking Cessation","Impact Factor","2.0"
"Journal of Spectroscopy","APC","$1550"
"Journal of Sports Medicine","APC","$820"
"Journal of Sports Medicine","Acceptance rate","27%"
"Journal of Sports Medicine","Submission to final decision","92 days"
"Journal of Sports Medicine","Acceptance to publication","19 days"
"Journal of Sports Medicine","CiteScore","4.300"
"Journal of Sports Medicine","Journal Citation Indicator","0.480"
"Journal of Sports Medicine","Impact Factor","2.9"
"Journal of the Renin-Angiotensin-Aldosterone System","APC","$2175"
"Journal of the Renin-Angiotensin-Aldosterone System","Acceptance rate","-"
"Journal of the Renin-Angiotensin-Aldosterone System","Submission to final decision","-"
"Journal of the Renin-Angiotensin-Aldosterone System","Acceptance to publication","-"
"Journal of the Renin-Angiotensin-Aldosterone System","CiteScore","3.400"
"Journal of the Renin-Angiotensin-Aldosterone System","Journal Citation Indicator","0.610"
"Journal of the Renin-Angiotensin-Aldosterone System","Impact Factor","1.8"
"Journal of Theoretical Social Psychology","APC","$950"
"Journal of Theoretical Social Psychology","Acceptance rate","-"
"Journal of Theoretical Social Psychology","Submission to final decision","-"
"Journal of Theoretical Social Psychology","Acceptance to publication","-"
"Journal of Theoretical Social Psychology","CiteScore","4.500"
"Journal of Theoretical Social Psychology","Journal Citation Indicator","0.450"
"Journal of Theoretical Social Psychology","Impact Factor","2.1"
"Journal of Thyroid Research","APC","$950"
"Journal of Thyroid Research","Acceptance rate","13%"
"Journal of Thyroid Research","Submission to final decision","85 days"
"Journal of Thyroid Research","Acceptance to publication","17 days"
"Journal of Thyroid Research","CiteScore","8.300"
"Journal of Thyroid Research","Journal Citation Indicator","0.740"
"Journal of Thyroid Research","Impact Factor","3.3"
"Journal of Tissue Engineering and Regenerative Medicine","APC","$2370"
"Journal of Tissue Engineering and Regenerative Medicine","Acceptance rate","24%"
"Journal of Tissue Engineering and Regenerative Medicine","Submission to final decision","92 days"
"Journal of Tissue Engineering and Regenerative Medicine","Acceptance to publication","15 days"
"Journal of Tissue Engineering and Regenerative Medicine","CiteScore","5.800"
"Journal of Tissue Engineering and Regenerative Medicine","Journal Citation Indicator","0.670"
"Journal of Tissue Engineering and Regenerative Medicine","Impact Factor","2.9"
"Journal of Toxicology","APC","$950"
"Journal of Toxicology","Acceptance rate","-"
"Journal of Toxicology","Submission to final decision","-"
"Journal of Toxicology","Acceptance to publication","-"
"Journal of Toxicology","CiteScore","-"
"Journal of Toxicology","Journal Citation Indicator","0.580"
"Journal of Toxicology","Impact Factor","2.5"
"Journal of Transplantation","APC","$950"
"Journal of Transplantation","Acceptance rate","18%"
"Journal of Transplantation","Submission to final decision","97 days"
"Journal of Transplantation","Acceptance to publication","20 days"
"Journal of Transplantation","CiteScore","3.300"
"Journal of Transplantation","Journal Citation Indicator","0.610"
"Journal of Transplantation","Impact Factor","2.2"
"Journal of Tropical Medicine","APC","$1550"
"Journal of Tropical Medicine","Acceptance rate","18%"
"Journal of Tropical Medicine","Submission to final decision","80 days"
"Journal of Tropical Medicine","Acceptance to publication","30 days"
"Journal of Tropical Medicine","CiteScore","4.600"
"Journal of Tropical Medicine","Journal Citation Indicator","0.820"
"Journal of Tropical Medicine","Impact Factor","1.9"
"Journal of Zoological Systematics and Evolutionary Research","APC","$2240"
"Journal of Zoological Systematics and Evolutionary Research","Acceptance rate","33%"
"Journal of Zoological Systematics and Evolutionary Research","Submission to final decision","137 days"
"Journal of Zoological Systematics and Evolutionary Research","Acceptance to publication","33 days"
"Journal of Zoological Systematics and Evolutionary Research","CiteScore","2.000"
"Journal of Zoological Systematics and Evolutionary Research","Journal Citation Indicator","0.190"
"Journal of Zoological Systematics and Evolutionary Research","Impact Factor","0.9"
"Laser and Particle Beams","APC","$1800"
"Laser and Particle Beams","Acceptance rate","-"
"Laser and Particle Beams","Submission to final decision","-"
"Laser and Particle Beams","Acceptance to publication","-"
"Laser and Particle Beams","CiteScore","4.400"
"Laser and Particle Beams","Journal Citation Indicator","-"
"Laser and Particle Beams","Impact Factor","-"
"Material Design & Processing Communications","APC","$800"
"Material Design & Processing Communications","Acceptance rate","28%"
"Material Design & Processing Communications","Submission to final decision","69 days"
"Material Design & Processing Communications","Acceptance to publication","27 days"
"Material Design & Processing Communications","CiteScore","2.600"
"Material Design & Processing Communications","Journal Citation Indicator","-"
"Material Design & Processing Communications","Impact Factor","-"
"Mathematical Problems in Engineering","APC","$2550"
"Mathematical Problems in Engineering","Acceptance rate","22%"
"Mathematical Problems in Engineering","Submission to final decision","90 days"
"Mathematical Problems in Engineering","Acceptance to publication","24 days"
"Mathematical Problems in Engineering","CiteScore","7.700"
"Mathematical Problems in Engineering","Journal Citation Indicator","0.570"
"Mathematical Problems in Engineering","Impact Factor","4.6"
"Mediators of Inflammation","APC","$2630"
"Mediators of Inflammation","Acceptance rate","15%"
"Mediators of Inflammation","Submission to final decision","93 days"
"Mediators of Inflammation","Acceptance to publication","11 days"
"Mediators of Inflammation","CiteScore","2.100"
"Mediators of Inflammation","Journal Citation Indicator","0.220"
"Mediators of Inflammation","Impact Factor","6.3"
"Mental Illness","APC","$900"
"Mental Illness","Acceptance rate","-"
"Mental Illness","Submission to final decision","-"
"Mental Illness","Acceptance to publication","-"
"Mental Illness","CiteScore","2.400"
"Mental Illness","Journal Citation Indicator","0.550"
"Mental Illness","Impact Factor","1.8"
"Minimally Invasive Surgery","APC","$950"
"Minimally Invasive Surgery","Acceptance rate","31%"
"Minimally Invasive Surgery","Submission to final decision","58 days"
"Minimally Invasive Surgery","Acceptance to publication","26 days"
"Minimally Invasive Surgery","CiteScore","1.400"
"Minimally Invasive Surgery","Journal Citation Indicator","-"
"Minimally Invasive Surgery","Impact Factor","-"
"Mobile Information Systems","APC","$2550"
"Mobile Information Systems","Acceptance rate","17%"
"Mobile Information Systems","Submission to final decision","74 days"
"Mobile Information Systems","Acceptance to publication","23 days"
"Mobile Information Systems","CiteScore","3.000"
"Mobile Information Systems","Journal Citation Indicator","0.530"
"Mobile Information Systems","Impact Factor","3.2"
"Modelling and Simulation in Engineering","APC","$950"
"Modelling and Simulation in Engineering","Acceptance rate","-"
"Modelling and Simulation in Engineering","Submission to final decision","-"
"Modelling and Simulation in Engineering","Acceptance to publication","-"
"Modelling and Simulation in Engineering","CiteScore","5.000"
"Modelling and Simulation in Engineering","Journal Citation Indicator","0.600"
"Modelling and Simulation in Engineering","Impact Factor","2.8"
"Molecular Imaging","APC","$2175"
"Molecular Imaging","Acceptance rate","-"
"Molecular Imaging","Submission to final decision","-"
"Molecular Imaging","Acceptance to publication","-"
"Molecular Imaging","CiteScore","-"
"Molecular Imaging","Journal Citation Indicator","0.460"
"Molecular Imaging","Impact Factor","2.5"
"Multiple Sclerosis International","APC","$950"
"Multiple Sclerosis International","Acceptance rate","-"
"Multiple Sclerosis International","Submission to final decision","-"
"Multiple Sclerosis International","Acceptance to publication","-"
"Multiple Sclerosis International","CiteScore","5.400"
"Multiple Sclerosis International","Journal Citation Indicator","0.540"
"Multiple Sclerosis International","Impact Factor","3.7"
"Nanomaterials and Nanotechnology","APC","$1700"
"Nanomaterials and Nanotechnology","Acceptance rate","16%"
"Nanomaterials and Nanotechnology","Submission to final decision","130 days"
"Nanomaterials and Nanotechnology","Acceptance to publication","24 days"
"Nanomaterials and Nanotechnology","CiteScore","5.700"
"Nanomaterials and Nanotechnology","Journal Citation Indicator","0.610"
"Nanomaterials and Nanotechnology","Impact Factor","3.1"
"Neural Plasticity","APC","$2450"
"Neural Plasticity","Acceptance rate","-"
"Neural Plasticity","Submission to final decision","-"
"Neural Plasticity","Acceptance to publication","-"
"Neural Plasticity","CiteScore","2.800"
"Neural Plasticity","Journal Citation Indicator","0.310"
"Neural Plasticity","Impact Factor","1.5"
"Neurology Research International","APC","$950"
"Neurology Research International","Acceptance rate","-"
"Neurology Research International","Submission to final decision","-"
"Neurology Research International","Acceptance to publication","-"
"Neurology Research International","CiteScore","4.800"
"Neurology Research International","Journal Citation Indicator","0.960"
"Neurology Research International","Impact Factor","2.8"
"New Directions for Child and Adolescent Development","APC","$1490"
"New Directions for Child and Adolescent Development","Acceptance rate","-"
"New Directions for Child and Adolescent Development","Submission to final decision","-"
"New Directions for Child and Adolescent Development","Acceptance to publication","-"
"New Directions for Child and Adolescent Development","CiteScore","3.300"
"New Directions for Child and Adolescent Development","Journal Citation Indicator","1.140"
"New Directions for Child and Adolescent Development","Impact Factor","2.4"
"Nursing Forum","APC","$800"
"Nursing Forum","Acceptance rate","5%"
"Nursing Forum","Submission to final decision","117 days"
"Nursing Forum","Acceptance to publication","15 days"
"Nursing Forum","CiteScore","1.500"
"Nursing Forum","Journal Citation Indicator","1.130"
"Nursing Forum","Impact Factor","1.9"
